time,title,source,url,overall_sentiment,overall_score,aapl_relevance,aapl_label,aapl_score
20251201T211100,Apple shares hit new all-time intraday and closing highs,MacDailyNews,https://macdailynews.com/2025/12/01/apple-shares-hit-new-all-time-intraday-and-closing-highs-90/,Bullish,0.691375,0.983944,Bullish,0.893355
20251201T200622,Apple (AAPL) 2026 Price Prediction: a Top AI Stock Contender?,Watcher Guru,https://watcher.guru/news/apple-aapl-2026-price-prediction-a-top-ai-stock-contender,Neutral,0.095783,0.97054,Somewhat-Bullish,0.274385
20251201T172127,"Intel Stock on December 1, 2025: Apple Foundry Rumors, Trade‑Secret Drama and What’s Next for INTC",ts2.tech,https://ts2.tech/en/intel-stock-on-december-1-2025-apple-foundry-rumors-trade%E2%80%91secret-drama-and-whats-next-for-intc/,Neutral,0.125059,0.731277,Neutral,0.146763
20251201T170620,Apple Tightens AI and App Rules Amid EU DMA Pressures,WebProNews,https://www.webpronews.com/apple-tightens-ai-and-app-rules-amid-eu-dma-pressures/,Neutral,0.001,0.963776,Neutral,0.001
20251201T163700,Tech Moves: Ex-Payscale CEO Scott Torrey joins Smartsheet; Apple taps Microsoft VP to lead AI efforts,GeekWire,https://www.geekwire.com/2025/tech-moves-ex-payscale-ceo-scott-torrey-joins-smartsheet-apple-taps-microsoft-vp-to-lead-ai-efforts/,Neutral,0.14735,0.916015,Somewhat-Bullish,0.236566
20251201T143000,Medical Care Technologies Inc. Moves Into Apple's Final TestFlight Testing Phase for Its Debut Consumer AI App,Yahoo Finance,https://finance.yahoo.com/news/medical-care-technologies-inc-moves-143000422.html,Somewhat-Bullish,0.333917,0.704276,Somewhat-Bullish,0.342552
20251201T142148,"Grantham Mayo Van Otterloo & Co. LLC Sells 279,326 Shares of Skyworks Solutions, Inc. $SWKS",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-grantham-mayo-van-otterloo-co-llc-sells-279326-shares-of-skyworks-solutions-inc-swks-2025-11-30/,Neutral,0.062502,0.691084,Neutral,0.128926
20251201T140624,"Alphabet (GOOG) Class C Stock in December 2025: AI Supercycle, New Price Targets and What Comes Next",ts2.tech,https://ts2.tech/en/alphabet-goog-class-c-stock-in-december-2025-ai-supercycle-new-price-targets-and-what-comes-next/,Bullish,0.376279,0.595985,Somewhat-Bullish,0.289287
20251201T133626,Intel to Manufacture Apple’s Low-End M-Series Chips from 2027,WebProNews,https://www.webpronews.com/intel-to-manufacture-apples-low-end-m-series-chips-from-2027/,Somewhat-Bullish,0.182911,0.984276,Somewhat-Bullish,0.251404
20251201T133417,Three New MacBook Models to Launch Next Spring... Targeting Replacement Demand with the ‘M5 Generation’,매일경제,https://www.mk.co.kr/en/business/11481225,Somewhat-Bullish,0.322862,0.975048,Bullish,0.478901
20251201T123000,"Federal Realty Announces the Acquisition of Village Pointe in Omaha, NE",PR Newswire,https://www.prnewswire.com/news-releases/federal-realty-announces-the-acquisition-of-village-pointe-in-omaha-ne-302626120.html,Somewhat-Bullish,0.206799,0.644713,Neutral,0.121181
20251201T122148,"Skandinaviska Enskilda Banken AB publ Decreases Stock Position in Skyworks Solutions, Inc. $SWKS",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-skandinaviska-enskilda-banken-ab-publ-decreases-stock-position-in-skyworks-solutions-inc-swks-2025-11-30/,Neutral,0.134327,0.719737,Neutral,0.113988
20251201T103556,Apple Inc. $AAPL Stock Holdings Raised by Savvy Advisors Inc.,MarketBeat,https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-stock-holdings-raised-by-savvy-advisors-inc-2025-12-01/,Bullish,0.473477,0.979311,Bullish,0.486274
20251201T101740,Apple Inc. $AAPL Shares Acquired by Strs Ohio,MarketBeat,https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-shares-acquired-by-strs-ohio-2025-12-01/,Neutral,0.001,0.983155,Somewhat-Bullish,0.254991
20251201T095416,"Grantham Mayo Van Otterloo & Co. LLC Sells 1,297 Shares of Advanced Micro Devices, Inc. $AMD",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-grantham-mayo-van-otterloo-co-llc-sells-1297-shares-of-advanced-micro-devices-inc-amd-2025-12-01/,Neutral,0.131892,0.617479,Neutral,0.140863
20251201T091100,Intel Corp. (INTC) Climbs 10.3% on Apple Deal Hype,Insider Monkey,https://www.insidermonkey.com/blog/intel-corp-intc-climbs-10-3-on-apple-deal-hype-1653397/,Somewhat-Bullish,0.3349,0.940917,Somewhat-Bullish,0.340975
20251201T091100,Intel Corp. (INTC) Climbs 10.3% on Apple Deal Hype,Finviz,https://finviz.com/news/242071/intel-corp-intc-climbs-103-on-apple-deal-hype,Somewhat-Bullish,0.340615,0.934459,Somewhat-Bullish,0.312182
20251201T081741,Apple Inc. $AAPL is Amalgamated Bank's 3rd Largest Position,MarketBeat,https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-is-amalgamated-banks-3rd-largest-position-2025-12-01/,Neutral,0.03312,0.349731,Neutral,0.036288
20251201T072233,META.USD Stock Price and Chart — SIX:META.USD,TradingView,https://www.tradingview.com/symbols/SIX-META.USD/?solution=43000713861,Somewhat-Bullish,0.177769,0.634868,Neutral,0.144994
20251201T053200,3 Reasons We're Fans of Microsoft (MSFT),Finviz,https://finviz.com/news/241731/3-reasons-were-fans-of-microsoft-msft,Somewhat-Bullish,0.225228,0.631453,Neutral,0.108533
20251201T030600,"Billionaire Warren Buffett Sold 45% of Berkshire's Stake in Bank of America and Piled Into a Virtual Monopoly That's Gained Nearly 13,000% Since Its IPO",Finviz,https://finviz.com/news/241672/billionaire-warren-buffett-sold-45-of-berkshires-stake-in-bank-of-america-and-piled-into-a-virtual-monopoly-thats-gained-nearly-13000-since-its-ipo,Somewhat-Bullish,0.169567,0.597902,Neutral,0.001
20251130T185129,"GS SEC Filings - Goldman Sachs Group Inc 10-K, 10-Q, 8-K Forms",Stock Titan,https://www.stocktitan.net/sec-filings/GS/,Neutral,0.043855,0.640106,Neutral,0.038574
20251130T153721,"Today's best T-Mobile Cyber Monday deals: free iPads, iPhones, internet discounts, and much more",TechRadar,https://www.techradar.com/phones/t-mobile/todays-best-t-mobile-cyber-monday-deals-free-ipads-iphones-internet-discounts-and-much-more,Somewhat-Bullish,0.313528,0.732045,Somewhat-Bullish,0.301776
20251130T135109,"Alphabet Inc (GOOG) Class C Stock Nears $4 Trillion Valuation as AI TPUs, Gemini 3 and Big-Money Buyers Dominate the Headlines",ts2.tech,https://ts2.tech/en/alphabet-inc-goog-class-c-stock-nears-4-trillion-valuation-as-ai-tpus-gemini-3-and-big-money-buyers-dominate-the-headlines/,Somewhat-Bullish,0.311112,0.561306,Neutral,0.104619
20251130T122206,"VeriSign, Inc. $VRSN Shares Sold by Skandinaviska Enskilda Banken AB publ",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-verisign-inc-vrsn-shares-sold-by-skandinaviska-enskilda-banken-ab-publ-2025-11-29/,Neutral,0.108293,0.612448,Neutral,0.121126
20251130T112416,"4,906 Shares in Skyworks Solutions, Inc. $SWKS Acquired by Inceptionr LLC",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-4906-shares-in-skyworks-solutions-inc-swks-acquired-by-inceptionr-llc-2025-11-29/,Neutral,0.034863,0.7116,Somewhat-Bullish,0.294134
20251130T111816,Seagate Technology Holdings PLC $STX Shares Sold by Korea Investment CORP,MarketBeat,https://www.marketbeat.com/instant-alerts/filing-seagate-technology-holdings-plc-stx-shares-sold-by-korea-investment-corp-2025-11-30/,Somewhat-Bullish,0.232344,0.765555,Neutral,0.035837
20251130T102523,"Horizon Wealth Management LLC Sells 3,225 Shares of Apple Inc. $AAPL",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-horizon-wealth-management-llc-sells-3225-shares-of-apple-inc-aapl-2025-11-30/,Somewhat-Bullish,0.274492,0.977132,Somewhat-Bullish,0.275112
20251130T102523,Apple Inc. $AAPL Shares Sold by Lathrop Investment Management Co.,MarketBeat,https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-shares-sold-by-lathrop-investment-management-co-2025-11-30/,Neutral,0.001,0.979978,Neutral,0.088536
20251130T100140," L.M. Kohn & Company Sells 23,236 Shares of Apple Inc. $AAPL",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-lm-kohn-company-sells-23236-shares-of-apple-inc-aapl-2025-11-30/,Somewhat-Bullish,0.234096,0.98278,Somewhat-Bullish,0.269111
20251130T100042,Spire Wealth Management Has $79.37 Million Position in Apple Inc. $AAPL,MarketBeat,https://www.marketbeat.com/instant-alerts/filing-spire-wealth-management-has-7937-million-position-in-apple-inc-aapl-2025-11-30/,Neutral,0.001,0.974504,Neutral,0.13364
20251130T093541,Hantz Financial Services Inc. Cuts Stock Position in Apple Inc. $AAPL,MarketBeat,https://www.marketbeat.com/instant-alerts/filing-hantz-financial-services-inc-cuts-stock-position-in-apple-inc-aapl-2025-11-30/,Neutral,0.128279,0.970676,Neutral,0.1273
20251130T084056,"Golden Road Advisors LLC Sells 1,582 Shares of Apple Inc. $AAPL",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-golden-road-advisors-llc-sells-1582-shares-of-apple-inc-aapl-2025-11-30/,Neutral,0.023799,0.958277,Neutral,0.087264
20251130T084056,Apple Inc. $AAPL is Daymark Wealth Partners LLC's 2nd Largest Position,MarketBeat,https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-is-daymark-wealth-partners-llcs-2nd-largest-position-2025-11-30/,Neutral,0.142302,0.999,Somewhat-Bullish,0.343148
20251130T083100,Apple Inc. $AAPL Stock Position Cut by Bristlecone Advisors LLC,MarketBeat,https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-stock-position-cut-by-bristlecone-advisors-llc-2025-11-30/,Neutral,0.001,0.974753,Neutral,0.115125
